ID,Nombre,Buscar_en_Google,Rubro,Zona,Ciudad
134,IMPORTADORA ALIMENTICIA BOLIVIANA,"IMPORTADORA ALIMENTICIA BOLIVIANA, La Paz, La Paz, Bolivia",Importadora-Distribuidora,La Paz,La Paz
135,ALIMENTOS CONDIMENTADOS DEL ALTIPLANO,"ALIMENTOS CONDIMENTADOS DEL ALTIPLANO, El Alto, El Alto, Bolivia",Procesadora de Condimentos,El Alto,El Alto
136,DISTRIBUIDORA HERMANOS MAMANI – CONDIMENTOS,"DISTRIBUIDORA HERMANOS MAMANI – CONDIMENTOS, Zona Max Paredes / Norte, Max Paredes, La Paz, Bolivia",Distribuidora Mayorista,Max Paredes,La Paz
137,CONSORCIO ALIMENTARIO DEL NORTE,"CONSORCIO ALIMENTARIO DEL NORTE, El Alto / Norte La Paz, Ceja El Alto, El Alto, Bolivia",Distribuidora de Alimentos,Ceja El Alto,El Alto
138,ALIMENTOS EL SOLAR – MAYORISTA,"ALIMENTOS EL SOLAR – MAYORISTA, La Paz, La Paz, Bolivia",Mayorista de Alimentos,La Paz,La Paz
139,DISTRIBUIDORA NORTE PACEÑA,"DISTRIBUIDORA NORTE PACEÑA, Zona Norte, Garita de Lima, La Paz, Bolivia",Distribuidora Alimentos,Garita de Lima,La Paz
140,COOPROALP – COOPERATIVA PRODUCTORES ALIMENTOS,"COOPROALP – COOPERATIVA PRODUCTORES ALIMENTOS, El Alto, El Alto, Bolivia",Cooperativa Alimenticia,El Alto,El Alto
141,MAKRO WHOLESALE – LA PAZ (si existe),"MAKRO WHOLESALE – LA PAZ (si existe), La Paz, La Paz, Bolivia",Mayorista Institucional,La Paz,La Paz
142,DISTRIBUIDORA ROCA – INGREDIENTES,"DISTRIBUIDORA ROCA – INGREDIENTES, La Paz, Industrial, La Paz, Bolivia",Distribuidora de Ingredientes,Industrial,La Paz
143,MERCADO CHOROLQUE – EL ALTO,"MERCADO CHOROLQUE – EL ALTO, Zona Chorolque, Chorolque, El Alto, Bolivia",Mercado Mayorista El Alto,Chorolque,El Alto
144,MERCADO SENASIR – ZONA SUR,"MERCADO SENASIR – ZONA SUR, Zona Sur, Obrajes / Calacoto, La Paz, Bolivia",Mercado y Distribuidores,Obrajes / Calacoto,La Paz
145,COOPERATIVA AGROINDUSTRIAL ALTIPLANO,"COOPERATIVA AGROINDUSTRIAL ALTIPLANO, El Alto, El Alto, Bolivia",Cooperativa Productora,El Alto,El Alto
146,ALMACENES ANDINOS – INSUMOS GASTRONÓMICOS,"ALMACENES ANDINOS – INSUMOS GASTRONÓMICOS, La Paz, Miraflores, La Paz, Bolivia",Almacén Gastronómico,Miraflores,La Paz
